766,梅津,5952
767,波多野,5946
768,大畑,5926
769,大和田,5926
770,矢口,5911
771,椎名,5851
772,菅沼,5833
773,池内,5817
774,目黒,5810
775,深田,5809
776,柳原,5809
777,曽根,5807
778,高倉,5800
779,神野,5794
780,影山,5775
781,立川,5755
782,岩城,5752
783,中澤,5749
784,大熊,5728
785,大貫,5704
786,角,5691
787,石坂,5658
788,倉持,5657
789,雨宮,5649
790,神崎,5649
791,川西,5642
792,玉置,5640
793,小沼,5627
794,橋爪,5621
795,小玉,5614
796,海老原,5610
797,栗林,5606
798,尾上,5596
799,西島,5594
800,赤坂,5590
801,首藤,5584
802,瀬尾,5572
803,上杉,5564
804,北,5563
805,合田,5562
806,三沢,5560
807,井原,5552
808,板橋,5545
809,丹野,5543
810,青野,5538
811,清田,5534
812,須賀,5525
813,結城,5519
814,久米,5512
815,永島,5504
816,西脇,5500
817,竹原,5488
818,白鳥,5485
819,坂野,5484
820,森口,5482
821,桑田,5474
822,勝又,5453
823,今,5437
824,宮坂,5430
825,中,5425
826,横尾,5423
827,大下,5419
828,芦田,5409
829,三枝,5389
830,妹尾,5389
831,池本,5382
832,脇田,5376
833,浜,5334
834,柏原,5330
835,楠本,5329
836,川越,5315
837,大林,5309
838,小久保,5286
839,日比野,5268
840,本村,5268
841,水島,5259
842,田端,5251
843,有賀,5235
844,小堀,5233
845,明石,5231
846,手島,5222
847,志田,5218
848,大和,5203
849,島津,5190
850,梅村,5181
851,谷村,5180
852,滝川,5177
853,沢井,5162
854,坂東,5159
855,浦野,5157
856,横川,5144
857,柳川,5135
858,春日,5127
859,楠,5123
860,内村,5114
861,国分,5113
862,曽我,5109
863,岡山,5085
864,角谷,5085
865,飛田,5085
866,江原,5081
867,笹川,5075
868,渡邉,5074
869,本橋,5059
870,花岡,5052
871,白木,5047
872,益田,5037
873,富山,5034
874,中塚,5010
875,森永,5004
876,大嶋,5001
877,東海林,4998
878,吉崎,4982
879,前野,4974
880,寺沢,4971
881,石倉,4957
882,高畑,4952
883,児島,4949
884,前島,4947
885,砂川,4942
886,柴山,4932
887,勝田,4930
888,井本,4923
889,小菅,4917
890,小栗,4914
891,玉木,4902
892,梅沢,4896
893,高谷,4894
894,沖,4871
895,八田,4868
896,大浦,4849
897,桜田,4847
898,滝,4828
899,倉本,4823
900,島袋,4822
901,塩見,4812
902,沖田,4812
903,浅沼,4810
904,阪口,4805
905,畠中,4802
906,黒崎,4798
907,野呂,4797
908,会田,4790
909,熊田,4790
910,池谷,4786
911,本山,4780
912,岩谷,4775
913,城戸,4760
914,田渕,4757
915,田尻,4742
916,鶴岡,4721
917,重松,4718
918,南部,4714
919,井村,4712
920,菅井,4700
921,戸塚,4682
922,石野,4676
923,平良,4676
924,大高,4665
925,末吉,4659
926,田所,4656
927,寺岡,4653
928,川添,4652
929,野島,4634
930,神戸,4632
931,古山,4623
932,村木,4616
933,宇田川,4613
934,笹原,4607
935,森井,4607
936,日下部,4594
937,丸田,4592
938,恩田,4591
939,福地,4554
940,高嶋,4553
941,米倉,4551
942,平賀,4541
943,寺西,4535
944,若山,4533
945,菊田,4531
946,磯野,4527
947,重田,4522
948,百瀬,4513
949,石沢,4511
950,藤島,4511
951,秋本,4504
952,五味,4502
953,小口,4486
954,増井,4482
955,新村,4473
956,濱田,4473
957,土谷,4468
958,岡島,4453
959,鬼頭,4453
960,湊,4433
961,小平,4427
962,西森,4420
963,西井,4417
964,熊倉,4415
965,照井,4415
966,今川,4411
967,小高,4410
968,中岡,4401
969,深井,4400
970,岩村,4398
971,玉田,4391
972,有村,4385
973,安永,4379
974,村中,4379
975,寺井,4377
976,牧田,4376
977,冨永,4372
978,松谷,4371
979,長友,4365
980,西浦,4364
981,浦,4356
982,紺野,4331
983,赤羽,4329
984,長浜,4327
985,河西,4307
986,猪股,4302
987,氏家,4298
988,富沢,4294
989,吉澤,4292
990,藤山,4291
991,長坂,4289
992,土肥,4282
993,境,4277
994,神原,4275
995,松橋,4269
996,野間,4268
997,伊達,4255
998,辻村,4250
999,持田,4242
1000,梶田,4236
1001,長沼,4234
1002,新保,4231
1003,柳瀬,4229
1004,品川,4222
1005,鵜飼,4221
1006,福士,4221
1007,古市,4218
1008,大関,4212
1009,寺崎,4204
1010,北岡,4198
1011,川嶋,4197
1012,柿沼,4193
1013,石岡,4184
1014,的場,4183
1015,安川,4174
1016,大越,4172
1017,相田,4166
1018,小村,4163
1019,倉橋,4163
1020,河上,4146
1021,鹿野,4141
1022,坂,4137
1023,宮里,4136
1024,大前,4135
1025,平原,4123
1026,古橋,4113
1027,広川,4087
1028,石村,4084
1029,河口,4082
1030,磯崎,4081
1031,河崎,4078
1032,藤谷,4078
1033,鹿島,4071
1034,寺内,4064
1035,塩崎,4059
1036,本郷,4056
1037,夏目,4053
1038,野尻,4053
1039,東野,4046
1040,安東,4040
1041,加賀,4038
1042,住田,4038
1043,柿崎,4031
1044,二瓶,4027
1045,安原,4016
1046,上岡,4003
1047,大宮,3992
1048,金,3990
1049,栗本,3990
1050,湯川,3989
1051,我妻,3987
1052,加瀬,3986
1053,江頭,3983
1054,高坂,3983
1055,伴,3981
1056,迫田,3979
1057,滝田,3977
1058,船越,3974
1059,谷内,3974
1060,赤井,3967
1061,垣内,3966
1062,新川,3963
1063,小山田,3961
1064,花井,3947
1065,小俣,3943
1066,津村,3942
1067,仲野,3939
1068,坪田,3938
1069,中森,3936
1070,梅木,3936
1071,江田,3935
1072,金野,3934
1073,伏見,3933
1074,平本,3932
1075,沢,3928
